milestone,target_utc_ts,cumulative_users,issuance_only,signup_bonus_50crc,total_with_bonus
Month 1 (30d),1605378380,83598,10365552,4179900,14545452
Month 2 (60d),1607970380,93253,32162308,4662650,36824958
Month 3 (90d),1610562380,94180,54633080,4709000,59342080
Month 4 (120d),1613154380,95348,77374648,4767400,82142048
Month 5 (150d),1615746380,95636,100296664,4781800,105078464
Month 6 (180d),1618338380,96483,123360380,4824150,128184530
Month 12 (360d),1633890380,101519,265456164,5075950,270532114
Month 13 (390d),1636482380,120474,294686274,6023700,300709974
Month 18 (540d),1649442380,122048,450312150,6102400,456414550
Year 1 (365.24d),1634343332,105520,269865669,5276000,275141669
Year 2 (730.5d),1665900284,123560,650745950,6178000,656923950
